TYPE; FULLCODE; STATE; COUNTY; TRACT; SHEETS,COUNTY_NAME,,,,
TRACT;06001428600;06;001;4286.00;1,ALAMEDA,,,,
TRACT;06001428700;06;001;4287.00;1,ALAMEDA,,,,
TRACT;06001430101;06;001;4301.01;1,ALAMEDA,,,,
TRACT;06001430102;06;001;4301.02;1,ALAMEDA,,,,
TRACT;06001430200;06;001;4302.00;1,ALAMEDA,,,,
TRACT;06001430300;06;001;4303.00;1,ALAMEDA,,,,
TRACT;06001430400;06;001;4304.00;1,ALAMEDA,,,,
TRACT;06001430500;06;001;4305.00;1,ALAMEDA,,,,
TRACT;06001430600;06;001;4306.00;1,ALAMEDA,,,,
TRACT;06001430700;06;001;4307.00;1,ALAMEDA,,,,
TRACT;06001430800;06;001;4308.00;1,ALAMEDA,,,,
TRACT;06001430900;06;001;4309.00;1,ALAMEDA,,,,
TRACT;06001431000;06;001;4310.00;1,ALAMEDA,,,,
TRACT;06001431100;06;001;4311.00;1,ALAMEDA,,,,
TRACT;06001431200;06;001;4312.00;1,ALAMEDA,,,,
TRACT;06001432100;06;001;4321.00;1,ALAMEDA,,,,
TRACT;06001432200;06;001;4322.00;1,ALAMEDA,,,,
TRACT;06001432300;06;001;4323.00;1,ALAMEDA,,,,
TRACT;06001432400;06;001;4324.00;1,ALAMEDA,,,,
TRACT;06001432501;06;001;4325.01;1,ALAMEDA,,,,
TRACT;06001432502;06;001;4325.02;1,ALAMEDA,,,,
TRACT;06001432601;06;001;4326.01;1,ALAMEDA,,,,
TRACT;06001432602;06;001;4326.02;1,ALAMEDA,,,,
TRACT;06001432700;06;001;4327.00;1,ALAMEDA,,,,
TRACT;06001432800;06;001;4328.00;1,ALAMEDA,,,,
TRACT;06001433000;06;001;4330.00;1,ALAMEDA,,,,
TRACT;06001433102;06;001;4331.02;1,ALAMEDA,,,,
TRACT;06001433103;06;001;4331.03;1,ALAMEDA,,,,
TRACT;06001433104;06;001;4331.04;1,ALAMEDA,,,,
TRACT;06001433200;06;001;4332.00;1,ALAMEDA,,,,
TRACT;06001433300;06;001;4333.00;1,ALAMEDA,,,,
TRACT;06001433400;06;001;4334.00;1,ALAMEDA,,,,
TRACT;06001433500;06;001;4335.00;1,ALAMEDA,,,,
TRACT;06001433600;06;001;4336.00;1,ALAMEDA,,,,
